,0.01,0.5,1.0,1.5,2.0,2.5,5.0,N,iter,Language
Rejection (xexp),6 +/- 4,6 +/- 1,6 +/- 2,6 +/- 1,7 +/- 2,8 +/- 3,12 +/- 2,100000,100,Python
Rejection (beta),6 +/- 1,7 +/- 2,8 +/- 1,11 +/- 4,15 +/- 3,-1000 +/- 0,-1000 +/- 0,100000,100,Python
RoU (Maxwell),-1000 +/- 0,-1000 +/- 0,27 +/- 3,21 +/- 3,16 +/- 3,13 +/- 2,12 +/- 2,100000,100,Python
RoU shifted (Maxwell),9 +/- 1,9 +/- 2,9 +/- 2,9 +/- 2,10 +/- 2,10 +/- 3,9 +/- 2,100000,100,Python
RoU (Gamma),16 +/- 3,15 +/- 2,13 +/- 2,12 +/- 2,11 +/- 2,9 +/- 2,8 +/- 2,100000,100,Python
RoU shifted (Gamma),10 +/- 2,10 +/- 2,10 +/- 2,11 +/- 2,11 +/- 2,10 +/- 2,9 +/- 2,100000,100,Python
Conditional Gamma,-1000 +/- 0,-1000 +/- 0,-1000 +/- 0,7 +/- 2,5 +/- 1,4 +/- 1,3 +/- 1,100000,100,Python
Rejection (xexp),45 +/- 3,52 +/- 4,51 +/- 4,54 +/- 5,59 +/- 5,66 +/- 6,113 +/- 5,1000000,100,Python
Rejection (beta),52 +/- 4,56 +/- 5,68 +/- 4,96 +/- 4,141 +/- 4,-1000 +/- 0,-1000 +/- 0,1000000,100,Python
RoU (Maxwell),-1000 +/- 0,-1000 +/- 0,225 +/- 6,173 +/- 4,140 +/- 15,114 +/- 5,105 +/- 5,1000000,100,Python
RoU shifted (Maxwell),73 +/- 5,73 +/- 4,72 +/- 4,74 +/- 5,88 +/- 23,77 +/- 4,70 +/- 5,1000000,100,Python
RoU (Gamma),138 +/- 8,131 +/- 4,114 +/- 7,98 +/- 6,83 +/- 5,73 +/- 7,65 +/- 5,1000000,100,Python
RoU shifted (Gamma),86 +/- 5,84 +/- 4,85 +/- 6,94 +/- 7,91 +/- 5,83 +/- 5,76 +/- 5,1000000,100,Python
Conditional Gamma,-1000 +/- 0,-1000 +/- 0,-1000 +/- 0,65 +/- 4,44 +/- 6,35 +/- 3,34 +/- 6,1000000,100,Python
PINV (Gamma),3 +/- 2,3 +/- 1,3 +/- 1,2 +/- 1,2 +/- 1,2 +/- 1,2 +/- 1,100000,100,Cython
Rejection (xexp),4 +/- 2,5 +/- 1,5 +/- 2,5 +/- 1,6 +/- 1,7 +/- 1,10 +/- 2,100000,100,Cython
Rejection (beta),4 +/- 1,5 +/- 1,6 +/- 2,9 +/- 2,14 +/- 2,-1000 +/- 0,-1000 +/- 0,100000,100,Cython
RoU (Maxwell),-1000 +/- 0,-1000 +/- 0,12 +/- 2,10 +/- 2,7 +/- 1,6 +/- 1,6 +/- 1,100000,100,Cython
RoU shifted (Maxwell),4 +/- 1,4 +/- 1,5 +/- 2,4 +/- 1,5 +/- 3,4 +/- 1,4 +/- 1,100000,100,Cython
RoU (Gamma),7 +/- 1,7 +/- 2,6 +/- 1,5 +/- 1,4 +/- 1,4 +/- 1,3 +/- 1,100000,100,Cython
RoU shifted (Gamma),5 +/- 1,5 +/- 4,5 +/- 2,5 +/- 1,5 +/- 1,4 +/- 2,4 +/- 1,100000,100,Cython
Inversion (gammaincinv),-1000 +/- 0,-1000 +/- 0,57 +/- 7,-1000 +/- 0,-1000 +/- 0,-1000 +/- 0,-1000 +/- 0,100000,100,Cython
PINV (Gamma),25 +/- 2,30 +/- 3,23 +/- 3,20 +/- 2,20 +/- 2,20 +/- 4,20 +/- 3,1000000,100,Cython
Rejection (xexp),42 +/- 5,46 +/- 6,44 +/- 3,48 +/- 3,56 +/- 4,64 +/- 6,99 +/- 5,1000000,100,Cython
Rejection (beta),41 +/- 3,44 +/- 3,58 +/- 3,86 +/- 3,130 +/- 4,-1000 +/- 0,-1000 +/- 0,1000000,100,Cython
RoU (Maxwell),-1000 +/- 0,-1000 +/- 0,117 +/- 4,94 +/- 4,71 +/- 6,59 +/- 6,57 +/- 4,1000000,100,Cython
RoU shifted (Maxwell),42 +/- 4,41 +/- 3,39 +/- 3,38 +/- 3,42 +/- 5,40 +/- 3,37 +/- 5,1000000,100,Cython
RoU (Gamma),69 +/- 4,64 +/- 3,53 +/- 4,46 +/- 5,40 +/- 4,34 +/- 4,31 +/- 3,1000000,100,Cython
RoU shifted (Gamma),43 +/- 3,42 +/- 3,40 +/- 4,45 +/- 4,46 +/- 3,41 +/- 3,37 +/- 4,1000000,100,Cython
Inversion (gammaincinv),-1000 +/- 0,-1000 +/- 0,563 +/- 16,-1000 +/- 0,-1000 +/- 0,-1000 +/- 0,-1000 +/- 0,1000000,100,Cython
